,Title,Author,num_ratings,Average Rating,Number of Awards,Year First Published,Number of Reviews,Genre,Location
109,The Master and Margarita,Mikhail Bulgakov,251006,4.29,N/A,1967,12024,N/A,Setting
110,The Shining,Stephen King,1155864,4.23,2.0,1977,25711,N/A,N/A
111,The Name of the Wind,Patrick Rothfuss,739179,4.52,N/A,2007,42902,N/A,"Prague (Praha), Czech Republic), Marrakech (Marrakesh), Morocco), Eretz"
112,The Adventures of Tom Sawyer,Mark Twain,774894,3.91,N/A,1876,10250,N/A,"Literary Awards, Booker Prize Nominee (1996), Winifred Holtby Memorial Prize (1996), Scotiabank Giller Prize (1995), Los Angeles Times Book Prize for Fiction (1996), Commonwealth Writers' Prize for Best Book Overall (1996), more, CBC Canada Reads Nominee (2002), International Dublin Literary Award Nominee for Shortlist (1997), less                "
113,Eragon,Christopher Paolini,1469964,3.91,19.0,2002,22484,N/A,"Literary Awards, Booker Prize Nominee (1996), Winifred Holtby Memorial Prize (1996), Scotiabank Giller Prize (1995), Los Angeles Times Book Prize for Fiction (1996), Commonwealth Writers' Prize for Best Book Overall (1996), more, CBC Canada Reads Nominee (2002), International Dublin Literary Award Nominee for Shortlist (1997), less                "
114,Charlie and the Chocolate Factory,Roald Dahl,683070,4.14,N/A,1964,12297,N/A,"Literary Awards, Independent Publisher Book Award (IPPY) for Audio Fiction - Abridged (1999)"
115,Flowers for Algernon,Daniel Keyes,490576,4.15,N/A,1959,19093,N/A,"Literary Awards, Locus Award Nominee for Best SF Novel (2012), World Fantasy Award Nominee for Best Novel (2012), ITW Thriller Award for Best Hard Cover Novel (2012), Grand Prix de l'Imaginaire Nominee for Roman étranger (2014), British Fantasy Award Nominee for Best Novel (2012), more, このミステリーがすごい！ for Best Translated Mystery Novel of the Year in Japan (2014), 本屋大賞 Nominee for Translated Fiction (2014), Goodreads Choice Award for Science Fiction (2011) and Nominee for Best of the Best  (2018), less                "
116,The Metamorphosis,Franz Kafka,667472,3.83,N/A,1915,18599,"Classics, Plays, Fiction, Drama, Academic >, School, Literature, Plays >, Theatre, Academic >, Read For School, Young Adult >, High School, Poetry, See top shelves…","Literary Awards, Grammy Award Nominee for Best Spoken Word Album (2012)"
117,On the Road,Jack Kerouac,355299,3.62,N/A,1957,15217,N/A,N/A
118,Looking for Alaska,John Green,1144671,4.02,N/A,2005,56833,N/A,"Literary Awards, Pulitzer Prize Nominee for General Nonfiction (1995), Exclusive Books Boeke Prize (1995), Ferro-Grumley Award for Gay Fiction (Non-Fiction) (1994), Lambda Literary Award for Gay Men's Mystery (1995)"
119,The Curious Incident of the Dog in the Night-Time,Mark Haddon,1219405,3.89,14.0,2003,44753,N/A,"Literary Awards, Pulitzer Prize for Drama (1949), New York Drama Critics' Circle Award for Best American Play (1949)"
120,The Shadow of the Wind,Carlos Ruiz Zafón,478996,4.27,N/A,2001,36831,N/A,N/A
121,The Very Hungry Caterpillar,Eric Carle,406881,4.29,N/A,1969,8131,N/A,"Literary Awards, Pulitzer Prize for Drama (1948), New York Drama Critics' Circle Award for Best American Play (1948)"
122,Tuesdays with Morrie,Mitch Albom,801195,4.12,N/A,1997,26657,N/A,Other Editions (3585)
123,The Unbearable Lightness of Being,Milan Kundera,351272,4.1,N/A,1984,15885,N/A,"Literary Awards, LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)"
124,Harry Potter and the Chamber of Secrets,J.K. Rowling,2815091,4.43,N/A,1998,54411,N/A,"Literary Awards, California Book Award for Fiction (Silver) (2005), Lincoln Award Nominee (2008), Asian/Pacific American Award for Literature for Adult Fiction Honor (2005)"
125,The Name of the Rose,Umberto Eco,307209,4.13,N/A,1980,9169,N/A,"Paris, France), Atlanta, Georgia, United States)"
126,Where the Red Fern Grows,Wilson Rawls,349252,4.08,N/A,1961,11281,N/A,N/A
127,The Godfather,Mario Puzo,342990,4.36,N/A,1969,8919,N/A,Other Editions (490)
128,The Scarlet Letter,Nathaniel Hawthorne,716906,3.41,N/A,1850,14971,"Fantasy, Young Adult, Fiction, Fantasy >, Paranormal, Mystery, Horror, Science Fiction >, Time Travel, Historical >, Historical Fiction, Fantasy >, Supernatural, Adventure, See top shelves…","Literary Awards, Grand Prix de l'Imaginaire for Roman jeunesse étranger (2015), Pennsylvania Young Readers' Choice Award for Young Adults (2014), California Young Readers Medal Nominee for Young Adult (2016), The Kitschies Nominee for Golden Tentacle (Debut) (2011), Goodreads Choice Award Nominee for Favorite Book and for Young Adult Fantasy & Science Fiction (2011)"
129,In Cold Blood,Truman Capote,543814,4.07,N/A,1965,17019,N/A,N/A
130,The Five People You Meet in Heaven,Mitch Albom,588503,3.94,N/A,2003,21032,N/A,"Denver, Colorado, United States), California, United States), New York State, United States)"
131,Fight Club,Chuck Palahniuk,507680,4.18,N/A,1996,14803,N/A,"Virginia, United States)"
132,"Hush, Hush",Becca Fitzpatrick,589288,3.96,N/A,2009,25224,"Young Adult, Science Fiction >, Dystopia, Romance, Science Fiction, Fiction, Fantasy, Young Adult >, Teen, Audiobook, Futuristic, Apocalyptic >, Post Apocalyptic, See top shelves…","Literary Awards, South Carolina Book Award for Young Adult (2013), Teen Buckeye Book Award (2012), Pennsylvania Young Readers' Choice Award for Young Adults (2012), Rhode Island Teen Book Award (2012), California Young Readers Medal for Young Adult (2013), more, Lincoln Award Nominee (2013), Literaturpreis der Jury der jungen Leser for Jugendbuch (2011), Carnegie Medal Nominee (2012), Missouri Gateway Readers Award Nominee (2013), less                "
133,The Count of Monte Cristo,Alexandre Dumas,759271,4.26,N/A,1844,21855,"Historical >, Historical Fiction, Fiction, Historical, War, War >, World War II, Audiobook, Adult, Cultural >, France, Book Club, Adult Fiction, See top shelves…","Literary Awards, Pulitzer Prize for Fiction (2015), Audie Award for Fiction (2015), ALA Alex Award (2015), Dayton Literary Peace Prize Nominee for Fiction (2015), Ohioana Book Award for Fiction (2015), more, Australian Book Industry Award (ABIA) for International Book (2015), Andrew Carnegie Medal for Fiction (2015), Idaho Book of the Year Award (2014), National Book Award Finalist for Fiction (2014), Goodreads Choice Award for Historical Fiction (2014) and Nominee for Best of the Best  (2018), International Dublin Literary Award Nominee (2016), less                "
134,The Cat in the Hat,Dr. Seuss,441876,4.17,N/A,1957,5956,"Historical >, Historical Fiction, Fiction, Historical, War, War >, World War II, Audiobook, Adult, Cultural >, France, Book Club, Adult Fiction, See top shelves…","Literary Awards, Pulitzer Prize for Fiction (2015), Audie Award for Fiction (2015), ALA Alex Award (2015), Dayton Literary Peace Prize Nominee for Fiction (2015), Ohioana Book Award for Fiction (2015), more, Australian Book Industry Award (ABIA) for International Book (2015), Andrew Carnegie Medal for Fiction (2015), Idaho Book of the Year Award (2014), National Book Award Finalist for Fiction (2014), Goodreads Choice Award for Historical Fiction (2014) and Nominee for Best of the Best  (2018), International Dublin Literary Award Nominee (2016), less                "
135,American Gods,Neil Gaiman,776684,4.1,N/A,2001,39077,N/A,N/A
136,Perfume: The Story of a Murderer,Patrick Süskind,341278,4.02,N/A,1985,14896,N/A,"England, France,, 1792, London, England, more, Paris, France), Dover, Kent, England, United Kingdom), less"
137,"The Lion, the Witch and the Wardrobe",C.S. Lewis,2185198,4.22,N/A,1950,22566,"Nonfiction, History, Biography, War >, World War II, War, Historical, Audiobook, War >, Military Fiction, Autobiography >, Memoir, Biography Memoir, See top shelves…",Other Editions (103)
138,Lonesome Dove,Larry McMurtry,152572,4.47,4.0,1985,7796,N/A,"Brooklyn, New York City, New York, United States), Williamsburg, Brooklyn, New York, United States)"
139,Holes,Louis Sachar,991013,3.97,21.0,1998,20817,"Fantasy, Fiction, Historical >, Historical Fiction, Historical, Fantasy >, Magic, Science Fiction Fantasy, Science Fiction >, Alternate History, Audiobook, Adult, Magical Realism, See top shelves…",N/A
140,The Last Olympian,Rick Riordan,692084,4.5,N/A,2009,24172,N/A,N/A
141,It,Stephen King,826782,4.24,N/A,1986,26237,"Fiction, Historical >, Historical Fiction, Westerns, Classics, Literature, Novels, Literature >, American, Horror, Historical, Literary Fiction, See top shelves…",Other Editions (122)
142,Watchmen,Alan Moore,493146,4.36,16.0,1987,14399,N/A,Other Editions (161)
143,The Little House Collection,Laura Ingalls Wilder,143369,4.34,N/A,1971,2229,N/A,"Dublin, Ireland), Ho Chi Minh City, Viet Nam), Haven City (Underground - Earth), more, Martina Franca, Italy), Southeast Coast of Ireland (location undisclosed), Ireland), less"
144,The Divine Comedy,Dante Alighieri,123877,4.04,N/A,1320,4000,N/A,Sweden
145,Peter Pan,J.M. Barrie,288293,4.04,N/A,1911,11749,N/A,"Literary Awards, Locus Award Nominee for Art Book (2019)"
146,All Quiet on the Western Front,Erich Maria Remarque,360940,3.99,N/A,1929,10704,"Fantasy, Young Adult, Fantasy >, Mythology, Childrens >, Middle Grade, Fiction, Adventure, Mythology >, Greek Mythology, Fantasy >, Urban Fantasy, Romance, Childrens, See top shelves…",Setting
147,"The Hobbit, or There and Back Again",J.R.R. Tolkien,2972114,4.28,3.0,1937,49529,N/A,Setting
148,The Compleat Works of Wllm Shkspr (abridged),Reduced Shakespeare Company,8510,4.45,N/A,1994,130,N/A,N/A
149,Love in the Time of Cholera,Gabriel García Márquez,421344,3.92,N/A,1985,20868,N/A,"Literary Awards, Los Angeles Times Book Prize Nominee for Fiction (1997), Exclusive Books Boeke Prize (1999), Prix des libraires du Québec for Lauréats hors Québec (1997), Prix Laure Bataillon (1997), Premio Grinzane Cavour Nominee for Narrativa Straniera (1997), more, Ελληνο-γερμανικό Βραβείο Μετάφρασης for Ιάκωβος Κοπερτί (2000), International Dublin Literary Award Nominee for Shortlist (1999), less                "
150,Insurgent,Veronica Roth,1197291,4.02,2.0,2012,59049,"Fiction, Contemporary, Womens Fiction >, Chick Lit, Adult, Adult Fiction, Drama, Young Adult, Realistic Fiction, Mystery, Mystery >, Crime, See top shelves…","Literary Awards, Iowa High School Book Award (2010), Lincoln Award Nominee (2010), LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)"
151,Shadow Kiss,Richelle Mead,333160,4.34,N/A,2008,11412,N/A,"Literary Awards, International Horror Guild Award for Nonfiction (2003), Book Sense Book of the Year Award Nominee (2004), Great Lakes Book Award Nominee for Nonfiction Shortlist (2003), Edgar Award for Best Fact Crime (2004), Washington State Book Award (2004), more, Pacific Northwest Booksellers Association Award (2004), National Book Award Finalist for Nonfiction (2003), CWA Gold Dagger Award (2003), less                "
152,The Thorn Birds,Colleen McCullough,318912,4.23,N/A,1977,6119,N/A,"California,, 1850, United States)"
153,A Walk to Remember,Nicholas Sparks,686249,4.18,N/A,1999,13286,"Young Adult, Science Fiction, Fantasy, Romance, Fiction, Science Fiction >, Dystopia, Fantasy >, Paranormal, Science Fiction >, Aliens, Adult, Romance >, Paranormal Romance, See top shelves…","Arizona, United States)"
154,How the Grinch Stole Christmas!,Dr. Seuss,341135,4.35,N/A,1957,3516,N/A,"Literary Awards, Pulitzer Prize for Novel (1940), National Book Award for Fiction (1939), California Book Award for General Literature (Silver) (1939), Audie Award for Classic (1999)"
155,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,292144,4.36,N/A,1996,5394,N/A,"Literary Awards, Pulitzer Prize for Novel (1921)"
156,"Eat, Pray, Love",Elizabeth Gilbert,1505513,3.57,N/A,2006,54128,N/A,N/A
157,The Importance of Being Earnest,Oscar Wilde,307072,4.18,N/A,1895,9515,N/A,Setting
158,Atonement,Ian McEwan,447156,3.91,N/A,2001,17519,N/A,N/A
159,Their Eyes Were Watching God,Zora Neale Hurston,271251,3.94,N/A,1937,14013,"Classics, Fiction, Historical >, Historical Fiction, Cultural >, Russia, Literature, Literature >, Russian Literature, War, Novels, Historical, Literature >, 19th Century, See top shelves…",Other Editions (2969)
160,The Three Musketeers,Alexandre Dumas,278238,4.07,N/A,1844,6946,N/A,Setting
161,The Wonderful Wizard of Oz,L. Frank Baum,381076,3.98,N/A,1900,12991,N/A,N/A
162,Frostbite,Richelle Mead,317731,4.26,N/A,2008,11416,N/A,"Chiba, Tokyo, Japan)"
163,Goodnight Moon,Margaret Wise Brown,313152,4.28,N/A,1947,5969,N/A,N/A
164,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,561124,4.24,N/A,1990,28193,N/A,"Caldwell, New York, United States)"
165,The Lorax,Dr. Seuss,291351,4.33,N/A,1971,4184,N/A,Other Editions (499)
166,The Fellowship of the Ring,J.R.R. Tolkien,2399876,4.36,N/A,1954,23526,N/A,"Literary Awards, Orange Prize Nominee for Fiction Shortlist (2000), American Booksellers Book Of The Year  Award for Adult Trade (1999)"
167,Blood Promise,Richelle Mead,283775,4.31,N/A,2009,9895,N/A,N/A
168,Tess of the D'Urbervilles,Thomas Hardy,241916,3.81,N/A,1891,8868,N/A,"Rifthold, Adarlan"
169,The Battle of the Labyrinth,Rick Riordan,765366,4.39,N/A,2008,19926,"Fiction, Historical >, Historical Fiction, Contemporary, Novels, Literature, World War II >, Holocaust, Literary Fiction, Literature >, Jewish, Historical, Magical Realism, See top shelves…","Literary Awards, New York Public Library Young Lions Fiction Award (2003), Guardian First Book Award (2002), PEN/Robert W. Bingham Prize (2004), William Saroyan International Prize for Writing for Fiction (2003), Corine Internationaler Buchpreis for Rolf Heyne Buchpreis (2003)"
170,Clockwork Princess,Cassandra Clare,351714,4.56,N/A,2013,30848,"Young Adult, Paranormal >, Vampires, Fantasy, Fantasy >, Paranormal, Romance, Fiction, Fantasy >, Supernatural, Romance >, Paranormal Romance, Fantasy >, Urban Fantasy, Fantasy >, Magic, See top shelves…",Setting
171,Heart of Darkness,Joseph Conrad,424903,3.43,N/A,1899,30848,"Fantasy, Fiction, Fantasy >, Epic Fantasy, Science Fiction Fantasy, Fantasy >, High Fantasy, Fantasy >, Dragons, Adventure, Adult, Audiobook, Epic, See top shelves…",Other Editions (177)
172,The Good Earth,Pearl S. Buck,225543,3.99,2.0,1931,8272,N/A,"Rifthold, Adarlan, Wendlyn"
173,A Midsummer Night's Dream,William Shakespeare,449418,3.95,N/A,1595,9912,N/A,Other Editions (310)
174,The Prophet,Kahlil Gibran,241109,4.22,N/A,1923,21764,"Nonfiction, Classics, Autobiography >, Memoir, Biography, Biography >, Autobiography, Poetry, Feminism, Biography Memoir, Cultural >, African American, Race, See top shelves…","Arkansas, United States), Louisiana, United States), California, United States), more, Missouri, United States), less"
175,The Titan's Curse,Rick Riordan,711465,4.34,N/A,2007,27814,N/A,"Literary Awards, Prix Femina Vie Heureuse Anglais (1928)"
176,The Sea of Monsters,Rick Riordan,775590,4.24,N/A,2006,6842,N/A,Setting
177,The Mists of Avalon,Marion Zimmer Bradley,195281,4.11,N/A,1982,9418,N/A,N/A
178,The Joy Luck Club,Amy Tan,603769,3.93,N/A,1989,5389,N/A,N/A
179,Alice in Wonderland,Jane Carruth,381689,4.02,N/A,1865,11385,N/A,N/A
180,The Call of the Wild,Jack London,349871,3.88,N/A,1903,8171,N/A,N/A
181,Jonathan Livingston Seagull,Richard Bach,207155,3.84,N/A,1970,10910,N/A,"Rome, Italy), Italy, Roman Empire"
182,Madame Bovary,Gustave Flaubert,260806,3.68,N/A,1857,6922,N/A,N/A
183,The Hunger Games Trilogy Boxset,Suzanne Collins,190800,4.48,N/A,2008,12694,N/A,"Literary Awards, Lambda Literary Award for Humor (2001), Puddly Award for Humor (2001), Thurber Prize for American Humor (2001)"
184,Bridge to Terabithia,Katherine Paterson,455867,4.01,N/A,1977,10553,N/A,"Le Havre,, 1766, France), Hispaniola,, 1767, Jamaica,, 1767, more, Lallybroch, Scotland,, 1752, United Kingdom), Ardsmuir, Scotland,, 1755, United Kingdom), Culloden Moor, Inverness-shire, Scotland,, 1746, Helwater,, 1756, Edinburgh, Scotland,, 1766, Inverness, Scotland,, 1968, Scottish Highlands,, 1766, less"
185,The Phantom Tollbooth,Norton Juster,251195,4.18,N/A,1961,56160,N/A,"Literary Awards, Anthony Award Nominee for Best First Novel (1995), PEN/Faulkner Award for Fiction (1995), American Booksellers Book Of The Year  Award for Adult Trade (1996), Martin Beck Award (1996), Barnes and Noble Discover Great New Writers Award (1994)"
186,The Maze Runner,James Dashner,1095644,4.03,N/A,2009,5376,N/A,Setting
187,"Oh, the Places You'll Go!",Dr. Seuss,337949,4.35,N/A,1990,34379,N/A,N/A
188,The Girl Who Played with Fire,Stieg Larsson,822564,4.24,5.0,2006,6775,N/A,N/A
189,The Neverending Story,Michael Ende,171928,4.16,N/A,1979,7726,N/A,Narnia
190,Oliver Twist,Charles Dickens,325550,3.87,N/A,1838,6916,"Philosophy, Classics, Nonfiction, Politics, History, Academic >, School, Literature, Politics >, Political Science, Literature >, Ancient, Academic >, College, See top shelves…",Other Editions (2119)
191,Ulysses,James Joyce,112973,3.73,N/A,1922,12001,N/A,N/A
192,Treasure Island,Robert Louis Stevenson,410181,3.83,N/A,1879,78809,N/A,N/A
193,Fifty Shades of Grey,E.L. James,2001619,3.66,3.0,2011,6677,N/A,"CDATA[, var newTip = new Tip($('edition_51845542'), ""<div class=\'editionTitle\'>\nWorm Holes (Quantum Roots, #2) \n<\/div>\n<div class=\'editionInfo\'>\n<\/div>\n<div class=\'editionInfo\'>\n<\/div>\n<div class=\'editionInfo\'>\nasin: B06XDW91KZ\n<\/div>\n<div class=\'editionInfo\'>\nformat: Kindle Edition\n<\/div>\n<div class=\'editionInfo\'>\nPublished\nMarch 3rd 2017\nby Create Space\n<\/div>\n<div class=\'enlargeCover\' id=\'edition_51845542_enlarge\'>\n<a>\nEnlarge cover\n<\/a>\n<\/div>\n<div class=\'editionCover\' id=\'edition_51845542_enlarge_cover\' style=\'display: none;\'>\n<img src=\""https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568996360l/51845542._SX318_SY475_.jpg\"" alt=\""51845542. sx318 sy475 \"" />\n<\/div>\n<div class=\'editionAction\'>\n<div class=\'wtrButtonContainer wtrSignedOut\' id=\'3_book_51845542\'>\n<div class=\'wtrUp wtrLeft\'>\n<form action=\""/shelf/add_to_shelf\"" accept-charset=\""UTF-8\"" method=\""post\""><input name=\""utf8\"" type=\""hidden\"" value=\""&#x2713;\"" /><input type=\""hidden\"" name=\""authenticity_token\"" value=\""LSdF5IUpzC/Jru4Hd5ZKBZSIi5p21Amo66+B4/ZEQVuMr2Rumy1oweB5oNp0IuvKT7BGW5gkdYvUaD5/JOi7jg==\"" />\n<input type=\""hidden\"" name=\""book_id\"" id=\""book_id\"" value=\""51845542\"" />\n<input type=\""hidden\"" name=\""name\"" id=\""name\"" value=\""to-read\"" />\n<input type=\""hidden\"" name=\""unique_id\"" id=\""unique_id\"" value=\""3_book_51845542\"" />\n<input type=\""hidden\"" name=\""wtr_new\"" id=\""wtr_new\"" value=\""true\"" />\n<input type=\""hidden\"" name=\""from_choice\"" id=\""from_choice\"" value=\""false\"" />\n<input type=\""hidden\"" name=\""from_home_module\"" id=\""from_home_module\"" value=\""false\"" />\n<input type=\""hidden\"" name=\""ref\"" id=\""ref\"" value=\""\"" class=\""wtrLeftUpRef\"" />\n<input type=\""hidden\"" name=\""existing_review\"" id=\""existing_review\"" value=\""false\"" class=\""wtrExisting\"" />\n<input type=\""hidden\"" name=\""page_url\"" id=\""page_url\"" />\n<button class=\'wtrToRead\' type=\'submit\'>\n<span class=\'progressTrigger\'>Want to Read<\/span>\n<span class=\'progressIndicator\'>saving…<\/span>\n<\/button>\n<\/form>\n\n<\/div>\n\n<div class=\'wtrRight wtrUp\'>\n<form class=\""hiddenShelfForm\"" action=\""/shelf/add_to_shelf\"" accept-charset=\""UTF-8\"" method=\""post\""><input name=\""utf8\"" type=\""hidden\"" value=\""&#x2713;\"" /><input type=\""hidden\"" name=\""authenticity_token\"" value=\""mz84bBPeeMQnR3vcIg0L87L3clPXY8XpVE3+wVEA4OM6txnmDdrcKg6QNQEhuao8ac+/kjmTucprikFdg6waNg==\"" />\n<input type=\""hidden\"" name=\""unique_id\"" id=\""unique_id\"" value=\""3_book_51845542\"" />\n<input type=\""hidden\"" name=\""book_id\"" id=\""book_id\"" value=\""51845542\"" />\n<input type=\""hidden\"" name=\""a\"" id=\""a\"" />\n<input type=\""hidden\"" name=\""name\"" id=\""name\"" />\n<input type=\""hidden\"" name=\""from_choice\"" id=\""from_choice\"" value=\""false\"" />\n<input type=\""hidden\"" name=\""from_home_module\"" id=\""from_home_module\"" value=\""false\"" />\n<input type=\""hidden\"" name=\""page_url\"" id=\""page_url\"" />\n<\/form>\n\n<button class=\'wtrShelfButton\'><\/button>\n<\/div>\n\n<div class=\'ratingStars wtrRating\'>\n<div class=\'starsErrorTooltip hidden\'>\nError rating book. Refresh and try again.\n<\/div>\n<div class=\'myRating uitext greyText\'>Rate this book<\/div>\n<div class=\'clearRating uitext\'>Clear rating<\/div>\n<div class=\""stars\"" data-resource-id=\""51845542\"" data-user-id=\""0\"" data-submit-url=\""/review/rate/51845542?stars_click=true&wtr_button_id=3_book_51845542\"" data-rating=\""0\""><a class=\""star off\"" title=\""did not like it\"" href=\""#\"" ref=\""\"">1 of 5 stars<\/a><a class=\""star off\"" title=\""it was ok\"" href=\""#\"" ref=\""\"">2 of 5 stars<\/a><a class=\""star off\"" title=\""liked it\"" href=\""#\"" ref=\""\"">3 of 5 stars<\/a><a class=\""star off\"" title=\""really liked it\"" href=\""#\"" ref=\""\"">4 of 5 stars<\/a><a class=\""star off\"" title=\""it was amazing\"" href=\""#\"" ref=\""\"">5 of 5 stars<\/a><\/div>\n<\/div>\n\n<\/div>\n\n\n<\/div>\n\n"", { style: 'addbook', stem: 'bottomMiddle', hook: { tip: 'bottomMiddle', target: 'topMiddle' }, offset: { y: -3, x: 0 }, hideOn: false, width: 325, hideAfter: 0.05 });, edition_51845542').observe('prototip:shown', function() {, if (this.up('#box')) {, div.prototip').each(function(i){i.setStyle({zIndex: $('box').getStyle('z-index')})});, else {, div.prototip').each(function(i){i.setStyle({zIndex: 6000})});, newTip['wrapper'].addClassName('prototipAllowOverflow');, edition_51845542').observe('prototip:shown', function () {, div.prototip').each(function (e) {, if ($('edition_51845542').hasClassName('ignored')) {, e.setStyle({'display': 'none'});, return;, e.setStyle({'overflow': 'visible'});, edition_51845542').observe('prototip:hidden', function () {, span.elementTwo').each(function (e) {, if (e.getStyle('display') !== 'none') {, var lessLink = e.next();, swapContent(lessLink);, All Editions, Add a New Edition, Combine"
194,The Clan of the Cave Bear,Jean M. Auel,232928,4.06,N/A,1980,22322,N/A,N/A
195,A Storm of Swords,George R.R. Martin,676779,4.53,5.0,2000,3423,"Young Adult, Science Fiction, Science Fiction >, Dystopia, Fiction, Science Fiction >, Aliens, Fantasy, Apocalyptic >, Post Apocalyptic, Romance, Audiobook, Science Fiction >, Apocalyptic, See top shelves…","Ohio, United States)"
196,The Canterbury Tales,Geoffrey Chaucer,191925,3.5,N/A,1400,5568,N/A,"El Paso, Texas, United States), Texas, United States)"
