,url,title,author,num_ratings,avg_rating
68,https://www.goodreads.com/book/show/2623.Great_Expectations,Great Expectations,Charles Dickens,"664,721", 3.78 
69,https://www.goodreads.com/book/show/1934.Little_Women,Little Women,Louisa May Alcott,"1,715,328", 4.09 
70,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"2,883,151", 4.62 
71,https://www.goodreads.com/book/show/6514.The_Bell_Jar,The Bell Jar,Sylvia Plath,"606,260", 4.01 
72,https://www.goodreads.com/book/show/15823480-anna-karenina,Anna Karenina,Leo Tolstoy,"681,002", 4.06 
73,https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest,One Flew Over the Cuckoo's Nest,Ken Kesey,"641,288", 4.19 
74,https://www.goodreads.com/book/show/39988.Matilda,Matilda,Roald Dahl,"673,948", 4.32 
75,https://www.goodreads.com/book/show/40961427-1984,1984,George Orwell,"3,248,486", 4.19 
76,https://www.goodreads.com/book/show/10964.Outlander,"Outlander (Outlander, #1)",Diana Gabaldon,"847,166", 4.23 
77,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper,My Sister's Keeper,Jodi Picoult,"1,072,340", 4.08 
78,https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"2,666,360", 4.14 
79,https://www.goodreads.com/book/show/17899948-rebecca,Rebecca,Daphne du Maurier,"470,872", 4.23 
80,https://www.goodreads.com/book/show/52892857-the-color-purple,The Color Purple,Alice Walker,"532,886", 4.23 
81,https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn,A Tree Grows in Brooklyn,Betty  Smith,"394,293", 4.27 
82,https://www.goodreads.com/book/show/41817486-a-clockwork-orange,A Clockwork Orange,Anthony Burgess,"612,712", 3.99 
83,https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov,The Brothers Karamazov,Fyodor Dostoyevsky,"249,603", 4.32 
84,https://www.goodreads.com/book/show/6288.The_Road,The Road,Cormac McCarthy,"731,563", 3.97 
85,https://www.goodreads.com/book/show/252577.Angela_s_Ashes,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,"549,896", 4.12 
86,https://www.goodreads.com/book/show/345627.Vampire_Academy,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,"562,120", 4.11 
87,https://www.goodreads.com/book/show/52036.Siddhartha,Siddhartha,Hermann Hesse,"597,974", 4.03 
88,https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible,The Poisonwood Bible,Barbara Kingsolver,"665,778", 4.07 
89,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"2,902,098", 4.57 
90,https://www.goodreads.com/book/show/119322.The_Golden_Compass,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"1,312,491", 3.99 
91,https://www.goodreads.com/book/show/3836.Don_Quixote,Don Quixote,Miguel de Cervantes Saavedra,"215,447", 3.88 
92,https://www.goodreads.com/book/show/3263607-the-fellowship-of-the-ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"2,399,832", 4.36 
93,https://www.goodreads.com/book/show/662.Atlas_Shrugged,Atlas Shrugged,Ayn Rand,"357,983", 3.69 
