url,title,author,num_ratings,avg_rating,awards,original_publish_year,norm_mean,norm_max_min
https://www.goodreads.com/book/show/18143977-all-the-light-we-cannot-see,Hopeless,Anthony Doerr,1068150,4,,2012,4.195,10.0
https://www.goodreads.com/book/show/15717943-hopeless,The Shipping News,Colleen Hoover,274234,4,,1993,4.195,10.0
https://www.goodreads.com/book/show/7354.The_Shipping_News,"Unbroken: A World War II Story of Survival, Resilience and Redemption",Annie Proulx,131611,3,,2010,-4.805,1.0
https://www.goodreads.com/book/show/8664353-unbroken,The Scarlet Pimpernel,Laura Hillenbrand,787386,4,,1905,4.195,10.0
https://www.goodreads.com/book/show/136116.The_Scarlet_Pimpernel,The Chosen,Emmuska Orczy,126283,4,2.0,1966,4.195,10.0
https://www.goodreads.com/book/show/187181.The_Chosen,Jonathan Strange & Mr Norrell,Chaim Potok,87426,4,,2004,4.195,10.0
https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell,Houdini Heart,Susanna Clarke,205634,3,,2011,-4.805,1.0
https://www.goodreads.com/book/show/11324204-houdini-heart,"Blood Meridian, or the Evening Redness in the West",Ki Longfellow,3878,3,,1985,-4.805,1.0
https://www.goodreads.com/book/show/394535.Blood_Meridian_or_the_Evening_Redness_in_the_West,High Fidelity,Cormac McCarthy,111226,4,,1995,4.195,10.0
https://www.goodreads.com/book/show/285092.High_Fidelity,Artemis Fowl,Nick Hornby,176021,3,5.0,2001,-4.805,1.0
https://www.goodreads.com/book/show/249747.Artemis_Fowl,Pippi Longstocking,Eoin Colfer,508690,3,,1945,-4.805,1.0
https://www.goodreads.com/book/show/19302.Pippi_Longstocking,The Tales of Beedle the Bard,Astrid Lindgren,171829,4,,2008,4.195,10.0
https://www.goodreads.com/book/show/3950967-the-tales-of-beedle-the-bard,The House of Hades,J.K. Rowling,419357,4,,2013,4.195,10.0
https://www.goodreads.com/book/show/12127810-the-house-of-hades,Shantaram,Rick Riordan,275831,4,,2003,4.195,10.0
https://www.goodreads.com/book/show/33600.Shantaram,The Virgin Suicides,Gregory David Roberts,174554,4,,1993,4.195,10.0
https://www.goodreads.com/book/show/10956.The_Virgin_Suicides,The Reader,Jeffrey Eugenides,233382,3,,1995,-4.805,1.0
https://www.goodreads.com/book/show/101299.The_Reader,Nineteen Minutes,Bernhard Schlink,173433,3,,2007,-4.805,1.0
https://www.goodreads.com/book/show/14866.Nineteen_Minutes,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Jodi Picoult,305319,4,,2003,4.195,10.0
https://www.goodreads.com/book/show/397483.The_Devil_in_the_White_City,Redeeming Love,Erik Larson,539170,3,,1991,-4.805,1.0
https://www.goodreads.com/book/show/11422.Redeeming_Love,The Host,Francine Rivers,218308,4,,2008,4.195,10.0
https://www.goodreads.com/book/show/1656001.The_Host,The Grapes of Wrath,Stephenie Meyer,911480,3,,1939,-4.805,1.0
https://www.goodreads.com/book/show/18114322-the-grapes-of-wrath,The Age of Innocence,John Steinbeck,764171,3,,1920,-4.805,1.0
https://www.goodreads.com/book/show/53835.The_Age_of_Innocence,A Court of Thorns and Roses,Edith Wharton,141368,3,,2015,-4.805,1.0
https://www.goodreads.com/book/show/16096824-a-court-of-thorns-and-roses,The Lost Symbol,Sarah J. Maas,520554,4,,2009,4.195,10.0
https://www.goodreads.com/book/show/6411961-the-lost-symbol,Northanger Abbey,Dan Brown,531856,3,,1817,-4.805,1.0
https://www.goodreads.com/book/show/50398.Northanger_Abbey,War and Peace,Jane Austen,308943,3,,1867,-4.805,1.0
https://www.goodreads.com/book/show/656.War_and_Peace,Betrayed,Leo Tolstoy,270386,4,,2007,4.195,10.0
https://www.goodreads.com/book/show/676924.Betrayed,Waiting for Godot,P.C. Cast,244968,3,,1952,-4.805,1.0
https://www.goodreads.com/book/show/17716.Waiting_for_Godot,Neuromancer,Samuel Beckett,164205,3,10.0,1984,-4.805,1.0
https://www.goodreads.com/book/show/6088007-neuromancer,Dubliners,William Gibson,267192,3,,1914,-4.805,1.0
https://www.goodreads.com/book/show/11012.Dubliners,Lover Awakened,James Joyce,125231,3,2.0,2006,-4.805,1.0
https://www.goodreads.com/book/show/42900.Lover_Awakened,The Voyage of the Dawn Treader,J.R. Ward,163474,4,,1952,4.195,10.0
https://www.goodreads.com/book/show/140225.The_Voyage_of_the_Dawn_Treader,Divine Secrets of the Ya-Ya Sisterhood,C.S. Lewis,403884,4,,1997,4.195,10.0
https://www.goodreads.com/book/show/137791.Divine_Secrets_of_the_Ya_Ya_Sisterhood,The Waste Land,Rebecca Wells,526261,3,,1922,-4.805,1.0
https://www.goodreads.com/book/show/34080.The_Waste_Land,Crown of Midnight,T.S. Eliot,43924,4,,2013,4.195,10.0
https://www.goodreads.com/book/show/17167166-crown-of-midnight,Everything Is Illuminated,Sarah J. Maas,361951,4,,2002,4.195,10.0
https://www.goodreads.com/book/show/256566.Everything_Is_Illuminated,Untamed,Jonathan Safran Foer,167078,3,,2008,-4.805,1.0
https://www.goodreads.com/book/show/2866718-untamed,A Dance with Dragons,P.C. Cast,218161,3,,2011,-4.805,1.0
https://www.goodreads.com/book/show/10664113-a-dance-with-dragons,Heir of Fire,George R.R. Martin,566581,4,,2014,4.195,10.0
https://www.goodreads.com/book/show/20613470-heir-of-fire,"I, Robot",Sarah J. Maas,299892,4,,1950,4.195,10.0
https://www.goodreads.com/book/show/41804.I_Robot,I Know Why the Caged Bird Sings,Isaac Asimov,281698,4,,1969,4.195,10.0
https://www.goodreads.com/book/show/13214.I_Know_Why_the_Caged_Bird_Sings,To the Lighthouse,Maya Angelou,421304,4,,1927,4.195,10.0
https://www.goodreads.com/book/show/59716.To_the_Lighthouse,The One,Virginia Woolf,137061,3,,2014,-4.805,1.0
https://www.goodreads.com/book/show/18635016-the-one,Carrie,Kiera Cass,400820,4,,1974,4.195,10.0
https://www.goodreads.com/book/show/10592.Carrie,The Twilight Collection,Stephen King,534583,3,,2007,-4.805,1.0
https://www.goodreads.com/book/show/690926.The_Twilight_Collection,The Jungle,Stephenie Meyer,44005,3,,1905,-4.805,1.0
https://www.goodreads.com/book/show/41681.The_Jungle,The Pearl,Upton Sinclair,130074,3,,1947,-4.805,1.0
https://www.goodreads.com/book/show/5308.The_Pearl,"I, Claudius",John Steinbeck,191107,3,3.0,1934,-4.805,1.0
https://www.goodreads.com/book/show/18765.I_Claudius,Snow Falling on Cedars,Robert Graves,58583,4,,1994,4.195,10.0
https://www.goodreads.com/book/show/77142.Snow_Falling_on_Cedars,Me Talk Pretty One Day,David Guterson,168110,3,,2000,-4.805,1.0
https://www.goodreads.com/book/show/4137.Me_Talk_Pretty_One_Day,Voyager,David Sedaris,627994,3,,1993,-4.805,1.0
https://www.goodreads.com/book/show/10987.Voyager,Una Historia de Ayer,Diana Gabaldon,263043,4,,2014,4.195,10.0
https://www.goodreads.com/book/show/25036229-una-historia-de-ayer,Chosen,Sergio Cobo,6407,4,,2008,4.195,10.0
https://www.goodreads.com/book/show/1326258.Chosen,A Room with a View,P.C. Cast,225193,3,,1908,-4.805,1.0
https://www.goodreads.com/book/show/3087.A_Room_with_a_View,The Exorcist,E.M. Forster,153688,3,,1971,-4.805,1.0
https://www.goodreads.com/book/show/179780.The_Exorcist,The Last Battle,William Peter Blatty,184579,4,2.0,1956,4.195,10.0
https://www.goodreads.com/book/show/84369.The_Last_Battle,The Republic,C.S. Lewis,229234,4,,3380,4.195,10.0
https://www.goodreads.com/book/show/30289.The_Republic,Bleak House,Plato,174439,3,,1853,-4.805,1.0
https://www.goodreads.com/book/show/31242.Bleak_House,Coraline,Charles Dickens,99133,4,,2002,4.195,10.0
https://www.goodreads.com/book/show/17061.Coraline,Worm Holes,Neil Gaiman,500062,4,,2017,4.195,10.0
https://www.goodreads.com/book/show/34384161-worm-holes,The Elephant Tree,Kyle Keyes,11690,4,,2010,4.195,10.0
https://www.goodreads.com/book/show/9293020-the-elephant-tree,The 5th Wave,R.D. Ronald,66340,4,13.0,2013,4.195,10.0
https://www.goodreads.com/book/show/16101128-the-5th-wave,Aristotle and Dante Discover the Secrets of the Universe,Rick Yancey,398469,4,8.0,2012,4.195,10.0
https://www.goodreads.com/book/show/12000020-aristotle-and-dante-discover-the-secrets-of-the-universe,Demian: Die Geschichte von Emil Sinclairs Jugend,Benjamin Alire Sáenz,274880,4,,1919,4.195,10.0
https://www.goodreads.com/book/show/24861.Demian,Pet Sematary,Hermann Hesse,75943,4,,1983,4.195,10.0
https://www.goodreads.com/book/show/33124137-pet-sematary,Bloodlines,Stephen King,437161,4,,2011,4.195,10.0
https://www.goodreads.com/book/show/8709527-bloodlines,The Arabian Nights,Richelle Mead,171928,4,,1315,4.195,10.0
https://www.goodreads.com/book/show/93101.The_Arabian_Nights,Wizard's First Rule,Anonymous,62355,4,,1994,4.195,10.0
https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule,North and South,Terry Goodkind,232648,4,,1855,4.195,10.0
https://www.goodreads.com/book/show/156538.North_and_South,Torment,Elizabeth Gaskell,146692,4,,2010,4.195,10.0
https://www.goodreads.com/book/show/7740152-torment,The Iron King,Lauren Kate,213233,3,4.0,2010,-4.805,1.0
